timestamp,transaction_id,duration_time,item_code,amount,user_id,payment_method,is_anomalous
2024-01-05 12:12:39,3a706b67-948c-4771-ba75-dca7d7d16ab9,7.52,C789,39.61,07f7721b-37eb-4787-9b2e-8076eeafcea7,credit_card,0
2024-01-20 13:59:27,f4b9969d-d15b-4a4a-afe5-936642756e79,7.17,A123,23.1,236991f2-380a-4cf0-b493-eacc822608b4,cash,0
2024-07-03 14:46:03,4464456a-07d4-493f-811b-ca94c023abee,20.17,D012,36.99,f529af3d-f9d1-4966-8f28-ded8480eec9c,credit_card,1
2024-09-08 17:12:21,7636ae20-b127-4ad7-a0db-8246a0956202,6.62,B456,30.46,8bc034c5-3116-467f-a07b-845980a6ba53,cash,0
2024-04-25 18:00:29,772f23f9-3f1d-409b-b232-37913bfcfdf0,7.08,B456,45.24,e579886f-ff8c-4af5-b7f8-aa3ade095d79,credit_card,0
2024-08-30 16:51:21,f6435144-3e1e-49b6-b597-2b71219ae9eb,12.39,C789,10.88,826db77d-cf66-4f71-8538-89fc3b102411,cash,0
2024-07-25 12:53:53,fec5a710-9723-4773-bc4e-f7cab0bebd4e,11.66,C789,19.5,19f8a5d1-b1ad-4338-b727-2586437a5265,credit_card,0
2024-03-01 21:40:43,da705f4b-b05c-4bd0-bbed-2c1e21d3cd40,10.39,C789,27.03,79ad373a-3641-411e-93bd-e9f5a1bd84a6,credit_card,0
2024-06-10 17:55:41,9948e920-a84a-44a4-8b83-f7425d6da11c,5.93,A123,42.29,a2cd6b43-a3e5-4037-8837-11aeb7784c6e,credit_card,0
2024-10-24 17:46:43,59cad98c-cb5f-4aac-9312-9f3f8769267c,7.01,A123,43.28,788d4bbf-21d4-478c-aa6d-20249a197173,credit_card,0
2024-01-05 11:40:43,27b58611-9c59-412b-a2c4-ada75e46df0d,5.45,B456,30.43,083959f0-eda5-4fd7-915f-61954b43dab5,credit_card,0
2024-10-03 14:04:18,84a48a56-6d05-49f0-8af1-4248a521fd04,5.84,A123,25.67,66ebc72a-60df-4bff-ade9-24983b996afb,credit_card,0
2024-01-11 15:28:14,3f476e77-4711-43cb-ac01-f2b0d3832ee7,11.34,A123,12.9,9830ee04-6c86-4cb7-8353-bdddbec4a56b,credit_card,0
2024-07-21 20:35:51,c5a71298-40e9-42d9-8b4e-e1036cbcba0e,14.35,A123,20.76,7925119a-3c07-4317-b962-7bbb61836994,credit_card,0
2024-10-05 11:41:47,0ecb0858-b4d7-4ada-b921-46890fafcf1d,12.56,A123,39.0,6d0709d8-2934-4a1b-8e45-50728ec43000,cash,0
2024-07-29 00:38:50,776a5f36-2184-46aa-be30-1ec4b90445ec,9.43,A123,48.53,8ba97723-7adc-492b-809b-f23d6e9c0b66,cash,0
2024-04-15 18:41:38,4defff1d-1d01-460d-be84-575624f74537,10.84,C789,15.12,349a4e2c-cd0e-4f48-a978-4e7273b68737,cash,0
2024-01-02 20:27:02,f18034ad-ede3-4ff5-9f03-4aea3f37fa6d,10.16,B456,27.43,71a26fdf-3e21-4173-99af-c42a6b8e8428,cash,0
2024-10-14 12:09:42,5064fd2c-6f8e-4b38-9c9c-d8f1969cfc0e,14.76,B456,20.75,c1ab6618-56d6-463d-b33d-59df083eb020,credit_card,0
2024-05-27 16:51:50,6d962a4e-5fd5-4b21-978d-2bd199bdfcd8,12.82,A123,46.97,13df890a-4ee9-4ac9-bda9-8a735ffdb5ae,credit_card,0
2024-04-17 14:41:54,7d68cf05-caf1-41f0-8634-5d27236a4422,5.65,B456,7.46,bfc10b90-a3fc-44ab-903c-b992a15afae2,credit_card,0
